ingredient_id,name,normalized_name,source,source_url
ingredient:cefoperazon,Cefoperazon,cefoperazon,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefoperazon
ingredient:cefotaxim,Cefotaxim,cefotaxim,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefotaxim
ingredient:cefotiam,Cefotiam,cefotiam,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefotiam
ingredient:cefoxitin,Cefoxitin,cefoxitin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefoxitin
ingredient:cefpirom,Cefpirom,cefpirom,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefpirom
ingredient:cefpodoxim_proxetil,Cefpodoxim proxetil,cefpodoxim_proxetil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefpodoxim-proxetil
ingredient:cefprozil,Cefprozil,cefprozil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefprozil
ingredient:cefradin,Cefradin,cefradin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefradin
ingredient:ceftazidim,Ceftazidim,ceftazidim,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/ceftazidim
ingredient:cefuroxim,Cefuroxim,cefuroxim,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefuroxim
ingredient:celecoxib,Celecoxib,celecoxib,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/celecoxib
ingredient:cefalexin,Cefalexin,cefalexin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cephalexin
ingredient:cerebrolysin,Cerebrolysin,cerebrolysin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cerebrolysin
ingredient:cetirizine_hydrochlorid,Cetirizine Hydrochlorid,cetirizine_hydrochlorid,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cetirizine
ingredient:cetrimid_cetrimide,Cetrimid (Cetrimide),cetrimid_cetrimide,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cetrimid
ingredient:cetrorelix,Cetrorelix,cetrorelix,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cetrorelix
ingredient:chitosan,Chitosan,chitosan,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/chitosan
ingredient:clorhexidin_chlorhexidine,Clorhexidin (Chlorhexidine),clorhexidin_chlorhexidine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/clorhexidin
ingredient:cloroquin,Cloroquin,cloroquin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cloroquin
ingredient:chlorphenesin_carbamat,Chlorphenesin Carbamat,chlorphenesin_carbamat,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/chlorphenesin-carbamat
ingredient:choline,Choline,choline,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/choline
