drug_id,name,normalized_name,source
drug:dexamethasone_topical,Dexamethasone (topical),dexamethasone_topical,ddinter
drug:diazoxide,Diazoxide,diazoxide,ddinter
drug:diclofenamide,Diclofenamide,diclofenamide,ddinter
drug:dicoumarol,Dicoumarol,dicoumarol,ddinter
drug:dienestrol_topical,Dienestrol (topical),dienestrol_topical,ddinter
drug:diethylpropion,Diethylpropion,diethylpropion,ddinter
drug:diethylstilbestrol,Diethylstilbestrol,diethylstilbestrol,ddinter
drug:diflorasone_topical,Diflorasone (topical),diflorasone_topical,ddinter
drug:digitoxin,Digitoxin,digitoxin,ddinter
drug:digoxin,Digoxin,digoxin,ddinter
drug:dobutamine,Dobutamine,dobutamine,ddinter
drug:dopamine,Dopamine,dopamine,ddinter
drug:drospirenone,Drospirenone,drospirenone,ddinter
drug:efavirenz,Efavirenz,efavirenz,ddinter
drug:enfortumab_vedotin,Enfortumab vedotin,enfortumab_vedotin,ddinter
drug:enoxacin,Enoxacin,enoxacin,ddinter
drug:ephedrine,Ephedrine,ephedrine,ddinter
drug:epinephrine,Epinephrine,epinephrine,ddinter
drug:epirubicin,Epirubicin,epirubicin,ddinter
drug:esterified_estrogens,Esterified estrogens,esterified_estrogens,ddinter
drug:estradiol,Estradiol,estradiol,ddinter
drug:estradiol_topical,Estradiol (topical),estradiol_topical,ddinter
drug:estramustine,Estramustine,estramustine,ddinter
drug:estrone,Estrone,estrone,ddinter
drug:estrone_sulfate,Estrone sulfate,estrone_sulfate,ddinter
drug:estrone_sulfate_topical,Estrone sulfate (topical),estrone_sulfate_topical,ddinter
drug:etacrynic_acid,Etacrynic acid,etacrynic_acid,ddinter
drug:ethanol,Ethanol,ethanol,ddinter
drug:ethinylestradiol,Ethinylestradiol,ethinylestradiol,ddinter
drug:etonogestrel,Etonogestrel,etonogestrel,ddinter
drug:everolimus,Everolimus,everolimus,ddinter
drug:fludrocortisone,Fludrocortisone,fludrocortisone,ddinter
drug:fluocinonide_topical,Fluocinonide (topical),fluocinonide_topical,ddinter
drug:fluphenazine,Fluphenazine,fluphenazine,ddinter
drug:flurandrenolide_topical,Flurandrenolide (topical),flurandrenolide_topical,ddinter
drug:fluticasone_topical,Fluticasone (topical),fluticasone_topical,ddinter
drug:formoterol,Formoterol,formoterol,ddinter
drug:fosamprenavir,Fosamprenavir,fosamprenavir,ddinter
drug:fosphenytoin,Fosphenytoin,fosphenytoin,ddinter
drug:furosemide,Furosemide,furosemide,ddinter
drug:garlic,Garlic,garlic,ddinter
drug:gatifloxacin,Gatifloxacin,gatifloxacin,ddinter
drug:gemifloxacin,Gemifloxacin,gemifloxacin,ddinter
drug:ginseng,Ginseng,ginseng,ddinter
drug:goserelin,Goserelin,goserelin,ddinter
drug:grepafloxacin,Grepafloxacin,grepafloxacin,ddinter
drug:halcinonide_topical,Halcinonide (topical),halcinonide_topical,ddinter
drug:ulobetasol_topical,Ulobetasol (topical),ulobetasol_topical,ddinter
drug:histrelin,Histrelin,histrelin,ddinter
drug:hydrochlorothiazide,Hydrochlorothiazide,hydrochlorothiazide,ddinter
drug:hydrocortisone_topical,Hydrocortisone (topical),hydrocortisone_topical,ddinter
drug:hydroflumethiazide,Hydroflumethiazide,hydroflumethiazide,ddinter
drug:idelalisib,Idelalisib,idelalisib,ddinter
drug:iloperidone,Iloperidone,iloperidone,ddinter
drug:indacaterol,Indacaterol,indacaterol,ddinter
drug:indapamide,Indapamide,indapamide,ddinter
drug:indinavir,Indinavir,indinavir,ddinter
drug:interferon_beta_1a,Interferon beta-1a,interferon_beta_1a,ddinter
drug:interferon_beta_1b,Interferon beta-1b,interferon_beta_1b,ddinter
drug:isoniazid,Isoniazid,isoniazid,ddinter
drug:isoprenaline,Isoprenaline,isoprenaline,ddinter
drug:lanreotide,Lanreotide,lanreotide,ddinter
drug:leflunomide,Leflunomide,leflunomide,ddinter
drug:leuprolide,Leuprolide,leuprolide,ddinter
drug:levonorgestrel,Levonorgestrel,levonorgestrel,ddinter
drug:levothyroxine,Levothyroxine,levothyroxine,ddinter
drug:liothyronine,Liothyronine,liothyronine,ddinter
drug:liotrix,Liotrix,liotrix,ddinter
drug:lithium_carbonate,Lithium carbonate,lithium_carbonate,ddinter
drug:lomefloxacin,Lomefloxacin,lomefloxacin,ddinter
drug:lomitapide,Lomitapide,lomitapide,ddinter
drug:lumateperone,Lumateperone,lumateperone,ddinter
drug:lurasidone,Lurasidone,lurasidone,ddinter
drug:medroxyprogesterone_acetate,Medroxyprogesterone acetate,medroxyprogesterone_acetate,ddinter
drug:megestrol_acetate,Megestrol acetate,megestrol_acetate,ddinter
drug:mephentermine,Mephentermine,mephentermine,ddinter
drug:mesoridazine,Mesoridazine,mesoridazine,ddinter
drug:orciprenaline,Orciprenaline,orciprenaline,ddinter
drug:metaraminol,Metaraminol,metaraminol,ddinter
drug:metamfetamine,Metamfetamine,metamfetamine,ddinter
drug:methazolamide,Methazolamide,methazolamide,ddinter
drug:methdilazine,Methdilazine,methdilazine,ddinter
drug:methotrexate,Methotrexate,methotrexate,ddinter
drug:methotrimeprazine,Methotrimeprazine,methotrimeprazine,ddinter
drug:methoxamine,Methoxamine,methoxamine,ddinter
drug:methylcellulose,Methylcellulose,methylcellulose,ddinter
drug:methylprednisolone,Methylprednisolone,methylprednisolone,ddinter
drug:methylprednisolone_topical,Methylprednisolone (topical),methylprednisolone_topical,ddinter
drug:metolazone,Metolazone,metolazone,ddinter
drug:midostaurin,Midostaurin,midostaurin,ddinter
drug:mipomersen,Mipomersen,mipomersen,ddinter
drug:moxifloxacin,Moxifloxacin,moxifloxacin,ddinter
drug:nalidixic_acid,Nalidixic acid,nalidixic_acid,ddinter
drug:nelfinavir,Nelfinavir,nelfinavir,ddinter
drug:niacin,Niacin,niacin,ddinter
drug:nicotinamide,Nicotinamide,nicotinamide,ddinter
drug:norepinephrine,Norepinephrine,norepinephrine,ddinter
drug:norethisterone,Norethisterone,norethisterone,ddinter
drug:norfloxacin,Norfloxacin,norfloxacin,ddinter
drug:norgestrel,Norgestrel,norgestrel,ddinter
drug:octreotide,Octreotide,octreotide,ddinter
drug:ofloxacin,Ofloxacin,ofloxacin,ddinter
drug:olanzapine,Olanzapine,olanzapine,ddinter
drug:omacetaxine_mepesuccinate,Omacetaxine mepesuccinate,omacetaxine_mepesuccinate,ddinter
